date,approving,disapproving,week
2018-01-15,36,59,1
2018-01-08,38,57,2
2018-01-01,37,58,3
2017-12-25,39,55,4
2017-12-18,37,57,5
2017-12-11,35,60,6
2017-12-04,36,59,7
2017-11-27,35,59,8
2017-11-20,37,56,9
2017-11-13,38,57,10
2017-11-06,38,56,11
2017-10-30,38,58,12
2017-10-23,35,60,13
2017-10-16,36,58,14
2017-10-09,37,57,15
2017-10-02,38,56,16
2017-09-25,37,58,17
2017-09-18,38,55,18
2017-09-11,38,57,19
2017-09-04,37,57,20
2017-08-28,36,59,21
2017-08-21,35,60,22
2017-08-14,37,58,23
2017-08-07,36,58,24
2017-07-31,37,58,25
2017-07-24,38,57,26
2017-07-17,37,58,27
2017-07-10,39,56,28
2017-07-03,38,57,29
2017-06-26,39,56,30
2017-06-19,39,56,31
2017-06-12,38,57,32
2017-06-05,37,58,33
2017-05-29,38,56,34
2017-05-22,41,54,35
2017-05-15,38,56,36
2017-05-08,38,56,37
2017-05-01,42,53,38
2017-04-24,41,54,39
2017-04-17,41,52,40
2017-04-10,40,54,41
2017-04-03,40,53,42
2017-03-27,38,57,43
2017-03-20,39,56,44
2017-03-13,40,55,45
2017-03-06,42,52,46
2017-02-27,43,51,47
2017-02-20,42,53,48
2017-02-13,40,54,49
2017-02-06,41,53,50
2017-01-30,43,52,51
2017-01-23,45,47,52
