ORIG,approving,disapproving,date
1/15/2018,36,59,1
1/8/2018,38,57,2
1/1/2018,37,58,3
12/25/2017,39,55,4
12/18/2017,37,57,5
12/11/2017,35,60,6
12/4/2017,36,59,7
11/27/2017,35,59,8
11/20/2017,37,56,9
11/13/2017,38,57,10
11/6/2017,38,56,11
10/30/2017,38,58,12
10/23/2017,35,60,13
10/16/2017,36,58,14
10/9/2017,37,57,15
10/2/2017,38,56,16
9/25/2017,37,58,17
9/18/2017,38,55,18
9/11/2017,38,57,19
9/4/2017,37,57,20
8/28/2017,36,59,21
8/21/2017,35,60,22
8/14/2017,37,58,23
8/7/2017,36,58,24
7/31/2017,37,58,25
7/24/2017,38,57,26
7/17/2017,37,58,27
7/10/2017,39,56,28
7/3/2017,38,57,29
6/26/2017,39,56,30
6/19/2017,39,56,31
6/12/2017,38,57,32
6/5/2017,37,58,33
5/29/2017,38,56,34
5/22/2017,41,54,35
5/15/2017,38,56,36
5/8/2017,38,56,37
5/1/2017,42,53,38
4/24/2017,41,54,39
4/17/2017,41,52,40
4/10/2017,40,54,41
4/3/2017,40,53,42
3/27/2017,38,57,43
3/20/2017,39,56,44
3/13/2017,40,55,45
3/6/2017,42,52,46
2/27/2017,43,51,47
2/20/2017,42,53,48
2/13/2017,40,54,49
2/6/2017,41,53,50
1/30/2017,43,52,51
1/23/2017,45,47,52
